GP,TS,IF,TI,DS,EN,number,raw_consist,PRI_consist
1,1,1,1,1,1,22,1.000000,1.000000
1,1,1,1,1,0,19,0.989021,0.983882
0,1,1,0,0,0,18,0.348784,-47.557474
1,1,1,0,1,1,18,0.986117,0.979331
0,1,0,1,1,1,16,1.000000,1.000000
1,0,0,1,1,1,16,0.939860,0.891469
1,0,1,1,1,1,15,1.000000,1.000000
1,1,1,1,0,0,15,0.936179,0.860486
0,0,0,1,1,1,13,0.914719,0.838438
0,1,0,0,0,0,13,0.183075,0.000000
1,1,1,0,0,0,13,1.000000,1.000000
0,1,0,0,1,1,12,0.880451,0.700877
0,1,1,1,1,1,12,0.986046,0.980299
1,0,0,0,0,1,12,0.397093,-21.613664
1,0,0,0,1,1,12,0.947502,0.864329
1,0,1,0,0,0,12,0.971472,0.948573
1,0,1,0,0,1,12,0.934837,0.901621
0,0,0,0,0,0,11,0.130232,0.000000
0,0,0,0,1,1,11,0.984707,0.974692
1,0,0,0,0,0,11,0.278823,0.000000
0,0,0,0,0,1,10,0.250284,-18.171865
0,0,0,1,0,0,10,0.270830,-351.288958
0,0,1,1,1,1,10,0.937489,0.830807
0,1,0,1,1,0,10,0.893258,0.778055
0,1,1,1,0,0,10,0.489473,-28.489017
1,0,1,0,1,1,10,1.000000,1.000000
0,0,0,1,1,0,9,0.544075,-650.407791
1,0,1,1,1,0,9,0.978290,0.959401
1,1,0,1,1,1,9,0.989706,0.986353
1,1,1,0,0,1,9,0.870047,0.717072
0,1,0,1,0,0,8,0.490519,-17.414189
1,0,0,1,1,0,8,0.862102,0.315335
1,1,1,1,0,1,7,0.875079,0.604483
0,0,0,0,1,0,6,0.407166,-7.807162
0,0,1,0,0,1,6,0.337550,-16.933293
0,1,1,0,0,1,6,0.483616,-3283.311180
1,0,0,1,0,0,6,0.390422,-9.453170
0,0,1,1,1,0,5,0.744669,-3.709247
0,1,1,1,0,1,5,0.690174,-6.014158
1,0,1,0,1,0,5,0.981308,0.968676
1,0,1,1,0,0,5,0.978763,0.914035
1,1,0,0,0,0,5,0.458750,-26.134728
1,1,0,0,0,1,5,0.497258,0.000000
0,0,1,0,0,0,4,0.264646,0.000000
0,1,1,0,1,1,4,0.892787,0.774406
1,0,0,1,0,1,4,0.476713,0.000000
1,1,0,0,1,1,4,0.978136,0.944976
0,0,0,1,0,1,3,0.224531,0.000000
0,0,1,1,0,0,3,0.235618,0.000000
0,1,0,0,0,1,3,0.159695,0.000000
0,1,0,0,1,0,3,0.288150,0.000000
1,0,0,0,1,0,3,0.534843,-13.567762
1,1,0,1,0,0,3,0.279857,0.000000
1,1,0,1,1,0,3,1.000000,1.000000
1,1,1,0,1,0,3,0.935693,0.770010
0,0,1,0,1,1,2,0.683804,-0.195301
0,1,1,1,1,0,2,0.950086,0.885644
1,0,1,1,0,1,2,0.953357,0.782767
1,1,0,1,0,1,2,0.374017,0.000000
0,0,1,0,1,0,1,0.235242,0.000000
0,0,1,1,0,1,1,0.235242,0.000000
0,1,0,1,0,1,1,0.545114,0.000000
0,1,1,0,1,0,1,0.804481,-8.078085
1,1,0,0,1,0,0,,
